taxonomy	SM.03_01	SM.03_03	SM.04_01	SM.04_03	SM.08_01	SM.08_02	SM.08_03	SM.08_04	SM.08_05	SM.08_09	SM.08_13	SM.09_01	SM.09_03	SM.11_01	SM.11_03	SM.12_01	SM.12_03	SM.13_01	SM.13_03	SM.17_01	SM.17_03	SM.30_01	SM.30_03	SM.31_01	SM.31_03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium	0.65795	0.2901	0	0	0.00088	0.00633	0.00255	0	0.015	0.00235	0	0	0	0	0	0	7.00E-05	0	0	0	0	0.2114	0.01779	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus	0.60527	1.09463	0.00866	0.01751	0.48553	3.24843	3.25559	0.48376	0.00396	0.26975	1.55219	0.02626	0.00817	0.17295	0.08882	0.1481	0.22345	1.02773	0.48533	3.18293	0.49873	4.38781	1.0709	0.12229	0.02679
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	0.58855	1.21068	1.15128	2.33103	3.765	2.68104	3.76892	1.6807	1.06796	0.91378	4.18592	4.6543	2.69271	0.01441	0.01665	3.06035	1.13557	0.00229	0.00667	0.96156	5.0054	0.15784	0.00814	0.94399	0.01301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0.5738	0.09665	1.19273	0.02815	0.04064	0	0	0	0	0	0	0.31335	0.05719	0.46302	0.07727	1.39191	0.06045	1.19341	0.12692	1.95638	0.24582	0.53146	0	0.01224	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4	0.54581	0.06891	0.04137	0.00865	0	0	0	0	0	0.00309	0	0	0	0.2541	0.00548	0.01654	0.00708	0.08447	0.01196	0.88434	0.024	2.70043	2.81661	0.02548	0.02563
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0.42799	0.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41922	0.78401	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4793	0.42365	0.35869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.41123	0.23112	0.93569	0.34007	0.10839	0	0	0.04438	0	0.10026	0.02802	0.07173	0.15211	0.01599	0	0.66868	0.06206	0.99328	0.08571	0	0	0	0	0.22937	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_leptum	0.40133	0.424	0.01173	0.02956	0.0303	0.71856	0.64216	0.28697	0.54751	0.18093	0.24704	0.00452	0.2135	0.05442	0.64862	0.12219	0.45354	0.01451	1.46052	0.00539	0.202	0.16537	0.67139	0.08182	0.88179
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	0.39291	0.80923	0	0	0	0	0	0	0	0	0	0	0	0.42333	0.01401	0.00086	0.05107	0	0	0	0	0	0	0.08655	0.03442
