# Constructed from biom file
#OTU ID	SM01_01	SM01_02	SM01_03	SM02_01	SM02_02	SM02_03	SM03_01	SM03_02	SM03_03	SM04_01	SM04_02	SM04_03	SM05_01	SM05_02	SM05_03	SM06_01	SM06_02	SM06_03	SM07_01	SM07_02	SM07_03	SM08_01	SM08_02	SM08_03	SM09_01	SM09_02	SM09_03	SM11_01	SM11_02	SM11_03	SM12_01	SM12_02	SM12_03	SM13_01	SM13_02	SM13_03	SM15_01	SM15_02	SM15_03	SM17_01	SM17_02	SM17_03	SM18_01	SM18_02	SM18_03	SM19_01	SM19_02	SM19_03	SM20_01	SM20_02	SM20_03	SM21_01	SM21_02	SM21_03	SM22_01	SM22_02	SM22_03	SM23_01	SM23_02	SM23_03	SM24_01	SM24_02	SM24_03	SM25_01	SM25_02	SM25_03	SM26_01	SM26_02	SM26_03	SM27_01	SM28_01	SM28_02	SM28_03	SM29_01	SM29_02	SM29_03	SM30_01	SM30_02	SM30_03	SM31_01	SM31_02	SM31_03	SM32_01	SM32_02	SM32_03	SM33_01	SM33_02	SM33_03	SM34_01	SM34_02	SM34_03	SM35_01	SM35_02	SM35_03	SM36_01	SM36_02	SM36_03	SM37_01	SM37_02	SM37_03	SM38_01	SM38_02	SM38_03	SM39_01	SM39_02	SM39_03	SM40_01	SM40_02	SM40_03	SM41_01	SM41_02	SM41_03	SM42_01	SM42_02	SM42_03	SM43_01	SM43_02	SM43_03	SM44_01	SM44_02	SM44_03
eae0738ba858df2d22433de0913bc58c	18.0	35.0	138.0	79.0	296.0	109.0	2773.0	1422.0	1119.0	203.0	340.0	694.0	90.0	843.0	568.0	79.0	105.0	86.0	189.0	461.0	76.0	177.0	294.0	100.0	339.0	137.0	183.0	385.0	178.0	93.0	289.0	167.0	696.0	1596.0	809.0	268.0	22.0	2004.0	2893.0	0.0	0.0	0.0	0.0	0.0	0.0	1818.0	229.0	670.0	925.0	174.0	371.0	80.0	169.0	113.0	405.0	1459.0	749.0	2289.0	1045.0	669.0	0.0	0.0	0.0	156.0	42.0	250.0	0.0	101.0	1188.0	595.0	273.0	1941.0	406.0	159.0	383.0	126.0	523.0	5020.0	10980.0	3388.0	331.0	554.0	98.0	53.0	114.0	1955.0	93.0	220.0	433.0	514.0	258.0	14.0	80.0	263.0	14.0	736.0	575.0	971.0	309.0	592.0	719.0	260.0	760.0	132.0	4275.0	3256.0	428.0	419.0	1069.0	982.0	139.0	559.0	202.0	688.0	509.0	95.0	706.0	127.0	342.0	225.0	865.0
0db5d53458bf68ab4f3ca669bff9b5f3	7530.0	5394.0	5974.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	95.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	74.0	0.0	2562.0	820.0	189.0	128.0	141.0	0.0	0.0	3999.0	2263.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3535.0	419.0	511.0	0.0	0.0	0.0	2288.0	1269.0	61.0	14108.0	338.0	476.0	3034.0	258.0	484.0	661.0	3774.0	3771.0	1699.0	2572.0	670.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	302.0	452.0	994.0	1376.0	959.0
e6e736770ba0182e08607e5032536759	109.0	365.0	462.0	0.0	0.0	0.0	986.0	885.0	520.0	1233.0	605.0	1390.0	954.0	901.0	3498.0	536.0	445.0	478.0	1632.0	860.0	427.0	996.0	551.0	1928.0	1252.0	539.0	512.0	201.0	900.0	493.0	1638.0	868.0	1090.0	1224.0	429.0	1857.0	1869.0	394.0	1617.0	0.0	0.0	0.0	709.0	153.0	1044.0	0.0	0.0	0.0	360.0	188.0	90.0	216.0	148.0	203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	427.0	541.0	364.0	1573.0	1511.0	802.0	0.0	1402.0	1358.0	938.0	1031.0	1615.0	1547.0	2591.0	260.0	14.0	0.0	0.0	0.0	1555.0	773.0	832.0	441.0	0.0	18.0	56.0	43.0	48.0	335.0	0.0	138.0	0.0	0.0	0.0	934.0	1379.0	1027.0	0.0	0.0	0.0	1392.0	555.0	930.0	1393.0	646.0	882.0	0.0	0.0	0.0	286.0	813.0	318.0	457.0	588.0	709.0	417.0	869.0	531.0
8d29a4b0e2aa4632d98d3b302ea9ef31	2465.0	515.0	575.0	395.0	19.0	8.0	12.0	212.0	52.0	927.0	517.0	345.0	156.0	138.0	356.0	8.0	0.0	0.0	125.0	32.0	86.0	649.0	243.0	549.0	83.0	1747.0	2327.0	0.0	0.0	0.0	227.0	871.0	534.0	0.0	0.0	0.0	494.0	127.0	436.0	13853.0	227.0	1397.0	0.0	0.0	0.0	176.0	44.0	41.0	168.0	0.0	0.0	566.0	221.0	112.0	915.0	1598.0	2998.0	368.0	2640.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	674.0	494.0	62.0	106.0	841.0	61.0	552.0	168.0	42.0	181.0	889.0	172.0	0.0	951.0	1026.0	939.0	903.0	455.0	316.0	4107.0	354.0	2641.0	204.0	4612.0	856.0	0.0	0.0	0.0	109.0	1179.0	428.0	115.0	539.0	146.0	8.0	110.0	94.0	0.0	0.0	0.0	200.0	574.0	95.0	1189.0	1232.0	288.0	95.0	39.0	16.0	0.0	0.0	62.0	159.0	249.0	290.0
5a6289b8068d8b7722dafb10cc3d0b76	147.0	277.0	429.0	0.0	0.0	0.0	224.0	348.0	48.0	174.0	169.0	61.0	147.0	612.0	1348.0	182.0	127.0	172.0	0.0	0.0	0.0	91.0	282.0	760.0	2590.0	2587.0	2429.0	0.0	0.0	0.0	494.0	0.0	98.0	2416.0	993.0	2983.0	0.0	5.0	0.0	327.0	17.0	802.0	1304.0	1325.0	2829.0	443.0	1486.0	851.0	390.0	588.0	312.0	1390.0	599.0	799.0	647.0	390.0	716.0	0.0	364.0	2064.0	0.0	0.0	0.0	28.0	29.0	34.0	0.0	0.0	0.0	932.0	393.0	1006.0	745.0	140.0	265.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	407.0	482.0	207.0	953.0	475.0	796.0	19.0	211.0	244.0	513.0	1443.0	0.0	0.0	0.0	524.0	1640.0	1106.0	1772.0	2337.0	713.0	0.0	4.0	0.0	564.0	568.0	607.0	1239.0	875.0	984.0	1633.0	660.0	1589.0	348.0	410.0	388.0	170.0	231.0	2352.0
ed8e1240eb554ecf417abfbb4dd0b542	93.0	436.0	478.0	0.0	0.0	0.0	466.0	975.0	323.0	1369.0	1628.0	1817.0	514.0	1204.0	2133.0	534.0	386.0	107.0	557.0	712.0	1776.0	0.0	0.0	0.0	926.0	681.0	470.0	157.0	932.0	1264.0	340.0	36.0	61.0	121.0	292.0	179.0	338.0	134.0	591.0	4178.0	1437.0	975.0	220.0	464.0	431.0	0.0	0.0	0.0	890.0	1242.0	325.0	795.0	768.0	547.0	542.0	482.0	545.0	0.0	2083.0	1437.0	284.0	2276.0	1375.0	424.0	622.0	465.0	187.0	146.0	93.0	0.0	927.0	919.0	878.0	404.0	648.0	241.0	666.0	32.0	0.0	585.0	85.0	96.0	901.0	798.0	620.0	0.0	0.0	0.0	929.0	164.0	243.0	0.0	0.0	0.0	630.0	462.0	495.0	371.0	245.0	338.0	541.0	940.0	561.0	484.0	581.0	147.0	800.0	1069.0	985.0	0.0	0.0	0.0	896.0	1146.0	1182.0	145.0	184.0	268.0	439.0	417.0	636.0
4f565c0abcf6b2d92a5b560f5b58b50b	281.0	453.0	443.0	738.0	20.0	126.0	177.0	210.0	455.0	61.0	480.0	55.0	1598.0	11.0	2825.0	56.0	129.0	68.0	732.0	89.0	47.0	61.0	0.0	0.0	188.0	20.0	34.0	296.0	145.0	83.0	323.0	1223.0	92.0	109.0	50.0	742.0	354.0	333.0	11375.0	312.0	17.0	13.0	0.0	12.0	124.0	28.0	199.0	83.0	18.0	20.0	25.0	155.0	195.0	38.0	2822.0	1100.0	721.0	46.0	1257.0	405.0	25.0	214.0	860.0	61.0	48.0	488.0	37.0	119.0	141.0	448.0	59.0	17.0	214.0	637.0	652.0	53.0	62.0	11.0	978.0	245.0	60.0	35.0	113.0	35.0	56.0	14.0	0.0	11.0	84.0	105.0	28.0	170.0	0.0	69.0	29.0	21.0	1349.0	53.0	43.0	49.0	334.0	2027.0	175.0	62.0	521.0	7.0	157.0	808.0	498.0	4360.0	1748.0	4277.0	133.0	198.0	44.0	9136.0	1478.0	1334.0	284.0	135.0	192.0
c5c368fa5d36912d8a01dbdf80cf9aea	33.0	34.0	45.0	0.0	0.0	0.0	123.0	14.0	54.0	187.0	46.0	98.0	19.0	388.0	197.0	161.0	52.0	105.0	22.0	48.0	39.0	2359.0	37.0	182.0	1205.0	225.0	559.0	0.0	0.0	0.0	2816.0	0.0	22.0	231.0	23.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	979.0	219.0	1092.0	0.0	0.0	0.0	1354.0	636.0	26.0	1337.0	539.0	425.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	1702.0	91.0	631.0	164.0	544.0	465.0	2737.0	1116.0	138.0	1033.0	1163.0	884.0	441.0	511.0	580.0	56.0	60.0	0.0	0.0	0.0	0.0	1294.0	312.0	329.0	18.0	92.0	305.0	79.0	0.0	30.0	414.0	26.0	155.0	1480.0	1061.0	409.0	1329.0	6354.0	2407.0	243.0	1294.0	2374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	492.0	237.0	169.0	349.0	322.0	256.0	3559.0	6010.0	1506.0
c29d42f3469306f77972fbf5ab565615	0.0	0.0	0.0	0.0	0.0	0.0	583.0	8.0	37.0	1986.0	822.0	924.0	684.0	465.0	2488.0	3343.0	1119.0	797.0	0.0	0.0	0.0	596.0	2099.0	558.0	654.0	431.0	403.0	16.0	15.0	17.0	0.0	0.0	0.0	1167.0	459.0	315.0	5085.0	1078.0	10847.0	0.0	0.0	0.0	84.0	51.0	52.0	1330.0	1019.0	1273.0	104.0	155.0	312.0	16.0	17.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	196.0	873.0	0.0	0.0	0.0	0.0	760.0	886.0	726.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	266.0	811.0	48.0	22.0	18.0	8.0	0.0	0.0	628.0	83.0	156.0	317.0	32.0	31.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	2953.0	5479.0	0.0	0.0	0.0	615.0	827.0	229.0	0.0	0.0	0.0	1275.0	792.0	1038.0	0.0	10.0	8.0	0.0	0.0	0.0
e600ed0f942a5d18f8cfcfabbad1f898	106.0	356.0	389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	289.0	193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	72.0	388.0	0.0	0.0	0.0	294.0	983.0	588.0	1190.0	1174.0	910.0	0.0	0.0	0.0	2071.0	553.0	520.0	0.0	0.0	0.0	27.0	33.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1180.0	9058.0	3048.0	355.0	1504.0	816.0	65.0	4214.0	1384.0	594.0	3834.0	950.0	518.0	12979.0	1908.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	1398.0	692.0	1873.0	0.0	0.0	0.0	0.0	4.0	0.0
